Name,Similarity Percentage
1,0.0
2,0.4090909090909091
3,0.6666666666666666
4,0.7857142857142857
5,0.6774193548387096
6,0.775
7,0.8163265306122449
8,0.8099173553719008
9,0.8344827586206897
10,0.8787878787878788
11,0.8776595744680851
12,0.8909952606635071
13,0.8755186721991701
14,0.8700361010830325
15,0.8793650793650793
16,0.8798882681564246
17,0.8927680798004988
18,0.8891352549889135
19,0.902
20,0.8960573476702509
21,0.916256157635468
22,0.9311926605504587
23,0.9410071942446043
24,0.9507523939808481
25,0.9580602883355177
26,0.9707379134860051
27,0.9727722772277227
28,0.9793939393939394
29,0.9821428571428571
30,0.9893992932862191
31,0.9837775202780996
32,0.9862857142857143
33,0.9864712514092446
34,0.982281284606866
35,0.9825897714907508
36,0.984994640943194
37,0.9914984059511158
38,0.996822033898305
39,0.9957805907172996
40,0.9916317991631799
41,0.9979123173277662
42,0.9906928645294726
43,0.995880535530381
44,0.9948770491803278
45,0.9938900203665988
