Name,Similarity Percentage
1,0.0
2,0.5555555555555556
3,0.6666666666666666
4,0.6428571428571429
5,0.7
6,0.8108108108108109
7,0.7551020408163265
8,0.8166666666666667
9,0.8333333333333334
10,0.8470588235294118
11,0.8762886597938144
12,0.8660714285714286
13,0.875
14,0.8827586206896552
15,0.8708708708708709
16,0.8694516971279374
17,0.8969555035128806
18,0.8914405010438413
19,0.8953271028037383
20,0.9129692832764505
21,0.9213836477987422
22,0.9366715758468336
23,0.9576868829337094
24,0.9685792349726776
25,0.9747003994673769
26,0.9816993464052287
27,0.9782608695652174
28,0.9836477987421384
29,0.9900373599003736
30,0.9852760736196319
31,0.9842995169082126
32,0.9951923076923077
33,0.9869513641755635
34,0.9894366197183099
35,0.9906976744186047
36,0.9885057471264368
