Name,Similarity Percentage
1,0.0
2,0.6
3,0.6097560975609756
4,0.7592592592592593
5,0.7605633802816901
6,0.8255813953488372
7,0.7678571428571429
8,0.8421052631578947
9,0.8209876543209876
10,0.8350515463917526
11,0.8660714285714286
12,0.8853754940711462
13,0.8724137931034482
14,0.8630952380952381
15,0.8842105263157894
16,0.8941176470588236
17,0.8835758835758836
18,0.9041353383458647
19,0.9078498293515358
20,0.9085271317829458
21,0.9148936170212766
22,0.9337748344370861
23,0.9593392630241423
24,0.9656441717791411
25,0.9807460890493381
26,0.9776470588235294
27,0.9860788863109049
28,0.9873997709049256
29,0.9786995515695067
30,0.9867256637168141
31,0.9836779107725789
32,0.990301724137931
33,0.9872340425531915
34,0.9947089947089947
35,0.9926470588235294
36,0.99581589958159
37,0.9989550679205852
38,0.9989561586638831
39,0.9979166666666667
40,0.997920997920998
41,0.9948293691830403
42,0.9979360165118679
43,0.9989690721649485
44,0.9979423868312757
45,0.998972250770812
