Name,Similarity Percentage
1,0.0
2,0.55
3,0.5714285714285714
4,0.7446808510638298
5,0.7230769230769231
6,0.7471264367816092
7,0.8055555555555556
8,0.8120300751879699
9,0.8417721518987342
10,0.8586956521739131
11,0.8440366972477065
12,0.8650793650793651
13,0.8780487804878049
14,0.8723404255319149
15,0.8867924528301887
16,0.8770685579196218
17,0.8961864406779662
18,0.8973384030418251
19,0.8870151770657673
20,0.9067278287461774
21,0.9276595744680851
22,0.9552845528455285
23,0.9634464751958225
24,0.9598997493734336
25,0.9708029197080292
26,0.9785714285714285
27,0.9882352941176471
28,0.989522700814901
29,0.982837528604119
30,0.9886877828054299
31,0.9822222222222222
32,0.9846827133479212
33,0.9838536060279871
34,0.985153764581124
35,0.9926315789473684
36,0.9989484752891693
