Name,Similarity Percentage
1,0.0
2,0.4
3,0.5263157894736842
4,0.7450980392156863
5,0.7183098591549296
6,0.797752808988764
7,0.7876106194690266
8,0.8248175182481752
9,0.85625
10,0.8695652173913043
11,0.863849765258216
12,0.891213389121339
13,0.8851851851851852
14,0.8940397350993378
15,0.8830409356725146
16,0.8791773778920309
17,0.8861047835990888
18,0.8850806451612904
19,0.8969258589511754
20,0.9125412541254125
21,0.9251908396946565
22,0.9370529327610873
23,0.9433198380566802
24,0.975
25,0.9681528662420382
26,0.967940813810111
27,0.9806529625151149
28,0.9810201660735468
29,0.9871194379391101
30,0.9838709677419355
31,0.9830124575311439
32,0.9843924191750278
33,0.9846322722283205
34,0.9934569247546347
35,0.9967391304347826
36,0.9978308026030369
37,0.9978354978354979
38,0.9967637540453075
39,0.9967741935483871
40,0.9957173447537473
41,0.9946751863684771
42,0.9957582184517497
43,0.9968287526427061
44,0.9957894736842106
45,0.9958071278825996
