Name,Similarity Percentage
1,0.0
2,0.5555555555555556
3,0.5
4,0.5806451612903226
5,0.6888888888888889
6,0.7894736842105263
7,0.7702702702702703
8,0.8222222222222222
9,0.7894736842105263
10,0.8201438848920863
11,0.879746835443038
12,0.8777777777777778
13,0.8866995073891626
14,0.875
15,0.8787878787878788
16,0.8888888888888888
17,0.911042944785276
18,0.8834688346883469
19,0.8956310679611651
20,0.9196428571428571
21,0.9237113402061856
22,0.9116541353383458
23,0.9333333333333333
24,0.946843853820598
25,0.9678456591639871
26,0.971875
27,0.9831029185867896
28,0.9774774774774775
29,0.9765395894428153
30,0.9756795422031473
31,0.9817415730337079
32,0.978021978021978
33,0.9851150202976996
34,0.9919463087248322
35,0.9789750328515112
36,0.9844760672703752
