Name,SMILES,Planarity,RDKit Planarity,RDKit MMFFOptimize Planarity,HOMO-LUMO Energy Gap /eV,Linker Type,Functional Group
b_18_v1_imine,COC1=CC2=C(C(/C=N/C3=NC=CC4=NSN=C34)=C1OC)C=CN2C,0.6159413872702466,0.8470513784972034,0.9530373751204531,2.30752545224,imine,None
b_18_v2_double,COC1=CC2=C(C=C1OC)C=C(/C=C/C3=NC=CC4=NSN=C34)N2C,0.9999318228524527,0.9999891545991688,0.9917807654813395,2.3148725262035,double,None
b_18_v2_triple,COC1=CC2=C(C=C1OC)C=C(/C#C/C3=NC=CC4=NSN=C34)N2C,1.0,1.0,1.0,2.5755575949825,triple,None
b_18_v2_imine,COC1=CC2=C(C=C1OC)C=C(/C=N/C3=NC=CC4=NSN=C34)N2C,0.9922259635976852,0.8541717247176206,0.9897494429137361,2.663450368694,imine,None
b_18_v2_thio,COC1=CC2=C(C=C1OC)C=C(C3=CC=C(C4=NC=CC5=NSN=C45)S3)N2C,0.9140151087814328,0.9999997400344321,0.72777504103188,2.1216716923485004,thio,None
b_18_v3_double,COC1=CC2=C(C(/C=C/C3=CN=CC4=NSN=C34)=C1OC)C=CN2C,0.8121659196114838,0.9955816296304677,0.7669013178692854,2.5314751512014992,double,None
b_18_v3_triple,COC1=CC2=C(C(/C#C/C3=CN=CC4=NSN=C34)=C1OC)C=CN2C,1.0,1.0,1.0,2.5224953941350003,triple,None
b_18_v3_imine,COC1=CC2=C(C(/C=N/C3=CN=CC4=NSN=C34)=C1OC)C=CN2C,0.4568826818840306,0.1532207501546045,0.7478241028766064,2.235687395708001,imine,None
b_18_v4_double,COC1=CC2=C(C=C1OC)C=C(/C=C/C3=CN=CC4=NSN=C34)N2C,0.9988423006754616,0.9999722574668931,0.934959112721764,2.192693407329,double,None
b_18_v4_triple,COC1=CC2=C(C=C1OC)C=C(/C#C/C3=CN=CC4=NSN=C34)N2C,1.0,1.0,1.0,2.3986835921575,triple,None
b_18_v4_imine,COC1=CC2=C(C=C1OC)C=C(/C=N/C3=CN=CC4=NSN=C34)N2C,0.9999998627253042,0.2715366996260188,0.7680941747966049,2.045479814208499,imine,None
b_18_v4_thio,COC1=CC2=C(C=C1OC)C=C(C3=CC=C(C4=CN=CC5=NSN=C45)S3)N2C,0.9994965536596948,0.9999999975544908,0.6947401996534658,2.0775892485675,thio,None
