D_A,donor,acceptor,D_A_a_crit,D_A_d_crit,A_D_a_crit,A_D_d_crit,Predicted_eg,Predicted_eg_Melanin_acceptor,HOMO-pi,LUMO-pi,HOMO-mel,LUMO-mel,Type,Melanin_substitution_type,DHI_or_DHICA
b_17_A_S,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,SC1:cnc2cscc2n:1,1.546441110756463,2.006490052133205,0.7859554073765369,0.6057511981662846,2.5575980808495005,6.5293718427475,-6.2232437609349995,-2.2680689439174997,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
b_17_A_Br,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,BrC1:cnc2cscc2n:1,1.7430193488587649,2.1850307032788785,0.7462408990186769,0.5952833175055396,2.348614644,6.876861229836,-6.5707331480235,-2.4770523811015,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
b_17_A_trifluro,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,FC(F)(F)C1:cnc2cscc2n:1,1.9671203341867671,2.541301711359655,0.7243432170840375,0.5606852051006299,2.019356885,7.084756211618,-6.7786281298055,-2.8063101402065,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
b_18_B_acetate,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,COC(=O)C1:cc2nsnc2cn:1,2.2576705846435665,2.8787971302091284,0.6959554210642851,0.545796738,1.782617835,7.373741120849001,-7.067613039036501,-3.0430491901415,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
b_18_B_amide,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,CNC(=O)C1:cc2nsnc2cn:1,1.9493424985056784,2.8181410639569635,0.7480168173885452,0.5174123433285737,1.820985888,6.860534398806,-6.5544063169935,-3.004681137221,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
b_18_B_amine,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,CNC1:cc2nsnc2cn:1,1.2812929122214007,1.9920777437414168,0.8762661462689341,0.5636093299879193,2.5761018226835004,5.856434290461,-5.5503062086485,-2.2495652020834997,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
b_18_B_methoxy,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,COC1:cc2nsnc2cn:1,1.6493326617980355,2.3745907831780406,0.7852681545636243,0.5454280479680214,2.1611282006710004,6.535086233608,-6.2289581517955,-2.6645388240959997,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
b_18_B_carbonyl,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,O=CC1:cc2nsnc2cn:1,2.500612637843516,3.3010677402415545,0.6874817731116943,0.5207786526684165,1.554586428,7.464627146916001,-7.158499065103501,-3.2710805968605,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
b_18_B_F,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,FC1:cc2nsnc2cn:1,2.3185015290519875,2.8836391437308864,0.6862309875554908,0.5517429590277273,1.7796245822700003,7.4782328394410005,-7.1721047576285,-3.046042442497,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
b_18_B_Cl,CN1C(C=C(C(OC)=C2)OC)=C2C=C1,ClC1:cc2nsnc2cn:1,2.3932960893854744,3.010215482841181,0.683594316,0.5434971726837755,1.7047932733825002,7.507076907594,-7.2009488257814995,-3.1208737513845,-4.825667024767,0.3061280818125,𝝿-frag,R = CH$_3$,DHI
