Name,SMILES,SYBA,Functional Group,Linker
b_9_v2_triple,COC1=CC2=C(C=C1OC)N(C)C(/C#C/C3=CC=CC4=NSN=C34)=C2,61.75377177479833,triple,none
b_9_v2_imine,COC1=CC2=C(C=C1OC)N(C)C(/C=N/C3=CC=CC4=NSN=C34)=C2,69.2905983590405,imine,none
b_9_v2_thio,COC1=CC2=C(C=C1OC)N(C)C(C3=CC=C(C4=CC=CC5=NSN=C45)S3)=C2,51.5653595564848,thio,none
b_11_v2_double,COC1=CC2=C(C=C(/C=C/C3=C4C(C(N3)=O)=CNC4=O)N2C)C=C1OC,-20.68309043714754,double,none
b_11_v2_triple,COC1=CC2=C(C=C(/C#C/C3=C4C(C(N3)=O)=CNC4=O)N2C)C=C1OC,-7.638282417014661,triple,none
b_11_v2_imine,COC1=CC2=C(C=C(/C=N/C3=C4C(C(N3)=O)=CNC4=O)N2C)C=C1OC,-11.423267359552346,imine,none
b_11_v2_thio,COC1=CC2=C(C=C(C3=CC=C(C4=C5C(C(N4)=O)=CNC5=O)S3)N2C)C=C1OC,-12.975400589239902,thio,none
b_13_v1_double,COC1=CC2=C(C(/C=C/C(SC=C3S4)=C3SC4=S)=C1OC)C=CN2C,35.597304659970646,double,none
b_13_v1_triple,COC1=CC2=C(C(/C#C/C(SC=C3S4)=C3SC4=S)=C1OC)C=CN2C,36.36888329838796,triple,none
b_13_v1_imine,COC1=CC2=C(C(/C=N/C(SC=C3S4)=C3SC4=S)=C1OC)C=CN2C,38.2303107208545,imine,none
b_13_v1_thio,COC1=CC2=C(C(C3=CC=C(C(SC=C4S5)=C4SC5=S)S3)=C1OC)C=CN2C,24.762446210788504,thio,none
b_13_v2_double,COC1=CC2=C(C=C1OC)N(C)C(/C=C/C(SC=C3S4)=C3SC4=S)=C2,41.02567839940427,double,none
b_13_v2_triple,COC1=CC2=C(C=C1OC)N(C)C(/C#C/C(SC=C3S4)=C3SC4=S)=C2,44.59068423214425,triple,none
b_13_v2_imine,COC1=CC2=C(C=C1OC)N(C)C(/C=N/C(SC=C3S4)=C3SC4=S)=C2,44.91310138728746,imine,none
b_13_v2_thio,COC1=CC2=C(C=C1OC)N(C)C(C3=CC=C(C(SC=C4S5)=C4SC5=S)S3)=C2,41.9369707094082,thio,none
b_16_v1_double,COC1=CC2=C(C(/C=C/C3=CC=CC4=C3N=CC=N4)=C1OC)C=CN2C,63.7188692043062,double,none
b_16_v1_triple,COC1=CC2=C(C(/C#C/C3=CC=CC4=C3N=CC=N4)=C1OC)C=CN2C,53.64246745462341,triple,none
b_16_v1_imine,COC1=CC2=C(C(/C=N/C3=CC=CC4=C3N=CC=N4)=C1OC)C=CN2C,57.86626394640909,imine,none
b_16_v1_thio,COC1=CC2=C(C(C3=CC=C(C4=CC=CC5=C4N=CC=N5)S3)=C1OC)C=CN2C,33.80728576535027,thio,none
b_16_v2_double,COC1=CC2=C(C=C1OC)C=C(/C=C/C3=CC=CC4=C3N=CC=N4)N2C,71.82269838363165,double,none
b_16_v2_triple,COC1=CC2=C(C=C1OC)C=C(/C#C/C3=CC=CC4=C3N=CC=N4)N2C,64.5397238282715,triple,none
b_16_v2_imine,COC1=CC2=C(C=C1OC)C=C(/C=N/C3=CC=CC4=C3N=CC=N4)N2C,66.53136142990816,imine,none
b_16_v2_thio,COC1=CC2=C(C=C1OC)C=C(C3=CC=C(C4=CC=CC5=C4N=CC=N5)S3)N2C,51.67495888679565,thio,none
b_17_v1_double,COC1=CC2=C(C(/C=C/C3=C4N=CC=NC4=CS3)=C1OC)C=CN2C,38.63231514495461,double,none
b_17_v1_triple,COC1=CC2=C(C(/C#C/C3=C4N=CC=NC4=CS3)=C1OC)C=CN2C,39.40389378337191,triple,none
b_17_v1_imine,COC1=CC2=C(C(/C=N/C3=C4N=CC=NC4=CS3)=C1OC)C=CN2C,41.26532120583846,imine,none
b_17_v1_thio,COC1=CC2=C(C(C3=CC=C(C4=C5N=CC=NC5=CS4)S3)=C1OC)C=CN2C,28.505396791122607,thio,none
b_17_v2_double,COC1=CC2=C(C=C1OC)C=C(/C=C/C3=C4N=CC=NC4=CS3)N2C,44.06068888438824,double,none
b_17_v2_triple,COC1=CC2=C(C=C1OC)C=C(/C#C/C3=C4N=CC=NC4=CS3)N2C,47.625694717128205,triple,none
b_17_v2_imine,COC1=CC2=C(C=C1OC)C=C(/C=N/C3=C4N=CC=NC4=CS3)N2C,47.94811187227141,imine,none
b_17_v2_thio,COC1=CC2=C(C=C1OC)C=C(C3=CC=C(C4=C5N=CC=NC5=CS4)S3)N2C,45.6799212897423,thio,none
