Name,SMILES,Planarity,HOMO-LUMO Energy Gap /eV,IP,EA,λ-Anion /meV,λ-Cation /meV,Linker Type,Melanin_substitution_type,Dyad_functionalisation_type
b_18_v2,COc1cc2cc(-c3nccc4nsnc34)n(C)c2cc1OC,0.9850536127974234,2.47079376254,6.30883336300758,1.1768627430064953,301.71766052080784,294.75399497459875,single,R = CH$_3$,none
g_9_v2,COc1cc2cc(-c3cccc4nsnc34)[nH]c2cc1OC,0.9999998305894394,2.3720164348085,6.12490834610071,1.024989472309244,313.6229135998292,304.3718590270146,single,R = H,none
g_17_v2,COc1cc2cc(-c3scc4nccnc34)[nH]c2cc1OC,0.9999998258667376,2.3333762680375,5.985252715174283,1.0195697807503166,323.3009147952544,314.6425241866382,single,R = H,none
g_18_v2,COc1cc2cc(-c3nccc4nsnc34)[nH]c2cc1OC,0.99999999585026,2.3238522832699995,6.331330375607649,1.3107696967126683,319.3163516916684,289.1177007913939,single,R = H,none
b_9_v2_double,COC1=CC2=C(C=C1OC)N(C)C(/C=C/C3=CC=CC4=NSN=C34)=C2,0.999955722343512,2.440861238985,5.910869033570634,1.0825559737204458,256.2686609890079,537.9660891921958,double,R = CH$_3$,none
b_9_v2_imine,COC1=CC2=C(C=C1OC)N(C)C(/C=N/C3=CC=CC4=NSN=C34)=C2,0.9999998270734454,2.2555517067945003,6.000875315563462,1.2770376474654768,293.4894819118199,325.1379554058076,imine,R = CH$_3$,none
b_9_v2_thio,COC1=CC2=C(C=C1OC)N(C)C(C3=CC=C(C4=CC=CC5=NSN=C45)S3)=C2,0.9618457422359012,2.3600434253865004,5.903460461871873,1.0974876770414994,250.2051480551017,358.8324529482634,thio,R = CH$_3$,none
b_16_v2_imine,COC1=CC2=C(C=C1OC)C=C(/C=N/C3=CC=CC4=C3N=CC=N4)N2C,0.9999963900914036,2.498549375291,5.926932458394731,0.9961151995194086,303.311431347538,348.15062373672845,imine,R = CH$_3$,none
b_17_v2_double,COC1=CC2=C(C=C1OC)C=C(/C=C/C3=C4N=CC=NC4=CS3)N2C,0.9999929872353668,2.351063668320001,5.770761693660461,1.1070203694471277,277.9463387778378,528.9161267501186,double,R = CH$_3$,none
b_17_v2_imine,COC1=CC2=C(C=C1OC)C=C(/C=N/C3=C4N=CC=NC4=CS3)N2C,0.9999986082468328,2.195958773535,5.978856679117598,1.393945376832562,327.18724481674144,374.1029380034888,imine,R = CH$_3$,none
b_17_v2_thio,COC1=CC2=C(C=C1OC)C=C(C3=CC=C(C4=C5N=CC=NC5=CS4)S3)N2C,0.999287667595055,2.421541155599501,5.790007762072492,1.193155015585944,277.6200742664514,643.2229919082602,thio,R = CH$_3$,none
b_18_v2_double,COC1=CC2=C(C=C1OC)C=C(/C=C/C3=NC=CC4=NSN=C34)N2C,0.9999318228524527,2.3148725262035,6.05008928233292,1.2591605838315445,242.59630056621967,280.9681630824344,double,R = CH$_3$,none
b_18_v2_thio,COC1=CC2=C(C=C1OC)C=C(C3=CC=C(C4=NC=CC5=NSN=C45)S3)N2C,0.9140151087814328,2.1216716923485004,5.94942919886671,1.405335518393258,244.05510292126564,364.06982821790734,thio,R = CH$_3$,none
b_18_v4_double,COC1=CC2=C(C=C1OC)C=C(/C=C/C3=CN=CC4=NSN=C34)N2C,0.9988423006754616,2.192693407329,6.02704532090138,1.3045284934414667,282.374175338191,305.50820646749344,double,R = CH$_3$,none
b_18_v4_triple,COC1=CC2=C(C=C1OC)C=C(/C#C/C3=CN=CC4=NSN=C34)N2C,1.0,2.3986835921575,6.216046893816383,1.5334374673329876,307.87124313792447,695.2201391613926,triple,R = CH$_3$,none
b_18_v4_imine,COC1=CC2=C(C=C1OC)C=C(/C=N/C3=CN=CC4=NSN=C34)N2C,0.9999998627253042,2.045479814208499,6.128537800635968,1.570265900088998,322.13681176654063,315.6768289481988,imine,R = CH$_3$,none
b_18_v4_thio,COC1=CC2=C(C=C1OC)C=C(C3=CC=C(C4=CN=CC5=NSN=C45)S3)N2C,0.9994965536596948,2.0775892485675,6.00738563943014,1.4190857033681823,281.3170130320941,347.8224544378463,thio,R = CH$_3$,none
g_9_v2_double,COC1=CC2=C(C=C1OC)NC(/C=C/C3=CC=CC4=NSN=C34)=C2,0.9999968817659036,2.4275276603105005,5.950873034962569,1.0061425949024851,246.1974552643369,304.04668296978343,double,R = H,none
g_9_v2_thio,COC1=CC2=C(C=C1OC)NC(C3=CC=C(C4=CC=CC5=NSN=C45)S3)=C2,0.9713743993018134,2.3306551295325,5.8940164785817615,1.1326091396113045,238.59323371289065,324.1621551424032,thio,R = H,none
g_17_v2_double,COC1=CC2=C(C=C1OC)NC(/C=C/C3=C4N=CC=NC4=CS3)=C2,0.9999999544529716,2.2857563442000006,5.7645444363952265,1.0325830814181245,274.0189195610583,320.2396339838742,double,R = H,none
g_17_v2_thio,COC1=CC2=C(C=C1OC)NC(C3=CC=C(C4=C5N=CC=NC5=CS4)S3)=C2,0.9718655518246988,2.2585449591500004,5.752989393848111,1.1729728755090036,263.84621538454667,336.08563984307693,thio,R = H,none
g_18_v1_triple,COC1=CC2=C(C(/C#C/C3=NC=CC4=NSN=C34)=C1OC)NC=C2,1.0,2.4743312425965005,6.4495053391801775,1.615557889927004,394.1522865134175,727.6035921750008,triple,R = H,none
g_18_v2_double,COC1=CC2=C(C=C1OC)NC(/C=C/C3=NC=CC4=NSN=C34)=C2,0.9999998757030892,2.332559926486,6.113836849865038,1.2673280810558936,242.73698342585703,277.2984356925008,double,R = H,none
