Name,SMILES,HOMO /eV,LUMO /eV,EG /eV,Planarity,SA Score,Linker Type,Fragment Functional Group,Eumelanin Type,Eumelanin Func Type,Eumelanin Bonded Type,Eumelanin Linker Type
0_56_single_A,COc1cc2cc[nH]c2c(C2:c(OC(C)=O)ncc3nsnc:23)c1OC,-5.205647,-2.810539,2.395108,0.371510703356272,3.169947160981333,single,Acetate,DHI,Unmethlyated,7 - DHI,single
0_57_single_A,COc1cc2cc[nH]c2c(C2:c(NC(C)=O)ncc3nsnc:23)c1OC,-5.52991,-2.723094,2.806816,0.5770321056838867,3.0909885331227045,single,Amide,DHI,Unmethlyated,7 - DHI,single
0_58_single_A,CNc1ncc2nsnc2:C:1c1c(OC)c(OC)cc2cc[nH]c12,-5.242761,-2.386751,2.856009,0.3697054579310005,3.154513740444868,single,Amine,DHI,Unmethlyated,7 - DHI,single
0_59_single_A,COc1cc2cc[nH]c2c(C2:c(OC)ncc3nsnc:23)c1OC,-5.071428,-2.615503,2.455925,0.5011018629144224,3.0744769511472088,single,Methoxy,DHI,Unmethlyated,7 - DHI,single
0_60_single_A,COc1cc2cc[nH]c2c(C2:c(C=O)ncc3nsnc:23)c1OC,-5.178135,-3.135268,2.042867,0.2467294096618907,3.2655297939565733,single,carbonyl,DHI,Unmethlyated,7 - DHI,single
0_61_single_A,COc1cc2cc[nH]c2c(C2:c(S(=O)(=O)O)ncc3nsnc:23)c1OC,-5.459353,-3.475023,1.98433,0.4214468032897137,3.274304305059024,single,Sulfonic Acid,DHI,Unmethlyated,7 - DHI,single
0_62_single_A,COc1cc2cc[nH]c2c(C2:c(C(F)(F)F)ncc3nsnc:23)c1OC,-5.310065,-3.018084,2.291981,0.3987188163719984,3.1733089415184548,single,Trifloro,DHI,Unmethlyated,7 - DHI,single
0_63_single_A,COc1cc2cc[nH]c2c(C2:c(F)ncc3nsnc:23)c1OC,-5.233085,-2.950013,2.283072,0.6091453984962591,3.146160052694114,single,F,DHI,Unmethlyated,7 - DHI,single
0_64_single_A,COc1cc2cc[nH]c2c(C2:c(O)ncc3nsnc:23)c1OC,-5.079867,-2.664464,2.415404,0.5527076430266423,3.2099257869598468,single,OH,DHI,Unmethlyated,7 - DHI,single
0_65_single_A,COc1cc2cc[nH]c2c(C2:c(S)ncc3nsnc:23)c1OC,-5.257265,-2.755025,2.502239,0.3309727974947248,3.3318789338129946,single,SH,DHI,Unmethlyated,7 - DHI,single
0_66_single_A,COc1cc2cc[nH]c2c(C2:c(Br)ncc3nsnc:23)c1OC,-5.313815,-2.975575,2.33824,0.3179288921871183,3.207072640106701,single,Br,DHI,Unmethlyated,7 - DHI,single
0_67_single_A,COc1cc2cc[nH]c2c(C2:cncc3nsnc:23)c1OC,-5.378613,-2.852653,2.52596,0.7391250132725957,3.03162215526368,single,none,DHI,Unmethlyated,7 - DHI,single
0_68_single_A,COc1cc2cc[nH]c2c(C2:c(C)ncc3nsnc:23)c1OC,-5.474192,-2.730026,2.744166,0.488826166363056,3.044999213533273,single,methyl,DHI,Unmethlyated,7 - DHI,single
0_69_single_A,COc1cc2cc[nH]c2c(C2:c(C#N)ncc3nsnc:23)c1OC,-5.347357,-3.22675,2.120607,0.462737297931673,3.206047519709082,single,cyanide,DHI,Unmethlyated,7 - DHI,single
0_70_single_A,COc1cc2cc[nH]c2c(C2:nc(OC(C)=O)cc3nsnc:23)c1OC,-5.095559,-2.687209,2.40835,0.76487318356944,3.1768889489231205,single,Acetate,DHI,Unmethlyated,7 - DHI,single
0_71_single_A,COc1cc2cc[nH]c2c(C2:nc(NC(C)=O)cc3nsnc:23)c1OC,-5.44086,-2.636851,2.804009,0.7059895195717963,3.055968990503162,single,Amide,DHI,Unmethlyated,7 - DHI,single
0_72_single_A,CNc1cc2nsnc2:C(c2c(OC)c(OC)cc3cc[nH]c23):n1,-5.11655,-2.282045,2.834505,0.7581457478962214,3.1188047103445324,single,Amine,DHI,Unmethlyated,7 - DHI,single
0_73_single_A,COc1cc2nsnc2:C(c2c(OC)c(OC)cc3cc[nH]c23):n1,-5.393935,-2.629653,2.764282,0.7352968219133316,3.0707545431204526,single,Methoxy,DHI,Unmethlyated,7 - DHI,single
0_74_single_A,COc1cc2cc[nH]c2c(C2:nc(C=O)cc3nsnc:23)c1OC,-5.342768,-3.07183,2.270938,0.7776278238853178,3.226156549809416,single,carbonyl,DHI,Unmethlyated,7 - DHI,single
0_75_single_A,COc1cc2cc[nH]c2c(C2:nc(S(=O)(=O)O)cc3nsnc:23)c1OC,-5.498758,-3.205604,2.293153,0.7953095437375964,3.282777013172828,single,Sulfonic Acid,DHI,Unmethlyated,7 - DHI,single
0_76_single_A,COc1cc2cc[nH]c2c(C2:nc(C(F)(F)F)cc3nsnc:23)c1OC,-5.487701,-2.994533,2.493168,0.8209623320524282,3.152695242888318,single,Trifloro,DHI,Unmethlyated,7 - DHI,single
0_77_single_A,COc1cc2cc[nH]c2c(C2:nc(F)cc3nsnc:23)c1OC,-5.29253,-2.77743,2.5151,0.8133870384807468,3.179359353393414,single,F,DHI,Unmethlyated,7 - DHI,single
0_78_single_A,COc1cc2cc[nH]c2c(C2:nc(O)cc3nsnc:23)c1OC,-5.455311,-2.668833,2.786479,0.7081150727145521,3.207173339407399,single,OH,DHI,Unmethlyated,7 - DHI,single
0_79_single_A,COc1cc2cc[nH]c2c(C2:nc(S)cc3nsnc:23)c1OC,-5.456175,-2.782491,2.673684,0.7511012659321731,3.371363549197609,single,SH,DHI,Unmethlyated,7 - DHI,single
0_80_single_A,COc1cc2cc[nH]c2c(C2:nc(Br)cc3nsnc:23)c1OC,-5.319047,-2.895613,2.423434,0.8068768496909617,3.184725786959848,single,Br,DHI,Unmethlyated,7 - DHI,single
0_81_single_A,COc1cc2cc[nH]c2c(C2:nccc3nsnc:23)c1OC,-5.168051,-2.6339,2.534151,0.7875210397097655,2.936092347571373,single,none,DHI,Unmethlyated,7 - DHI,single
0_82_single_A,COc1cc2cc[nH]c2c(C2:nc(C)cc3nsnc:23)c1OC,-5.328697,-2.601175,2.727522,0.7753760579294785,3.0075852275192885,single,methyl,DHI,Unmethlyated,7 - DHI,single
0_83_single_A,COc1cc2cc[nH]c2c(C2:nc(C#N)cc3nsnc:23)c1OC,-5.40082,-3.146127,2.254693,0.8091590117032752,3.2387665832542325,single,cyanide,DHI,Unmethlyated,7 - DHI,single
0_84_single_A,COc1cc2cc[nH]c2c(C2:nncc3nsnc:23)c1OC,-5.269517,-2.994647,2.27487,0.8249046690479819,3.16980028026368,single,none,DHI,Unmethlyated,7 - DHI,single
0_85_single_A,COc1cc2cc[nH]c2c(C2:scc3ncc(OC(C)=O)nc:23)c1OC,-4.99829,-2.327072,2.671218,0.8744274484657955,3.143680632914804,single,Acetate,DHI,Unmethlyated,7 - DHI,single
0_86_single_A,COc1cc2cc[nH]c2c(C2:scc3ncc(NC(C)=O)nc:23)c1OC,-5.10418,-2.260632,2.843549,0.8753650836928307,3.0517253314595028,single,Amide,DHI,Unmethlyated,7 - DHI,single
0_87_single_A,CNc1cnc2cs:C(c3c(OC)c(OC)cc4cc[nH]c34):c2n1,-4.81572,-1.948158,2.867562,0.8661719433454076,3.1190796267324945,single,Amine,DHI,Unmethlyated,7 - DHI,single
0_88_single_A,COc1cnc2cs:C(c3c(OC)c(OC)cc4cc[nH]c34):c2n1,-5.068599,-2.050682,3.017917,0.8363706888500018,3.0434595598428604,single,Methoxy,DHI,Unmethlyated,7 - DHI,single
0_89_single_A,COc1cc2cc[nH]c2c(C2:scc3ncc(C=O)nc:23)c1OC,-5.455149,-2.81468,2.640468,0.4077065553892194,3.19823347288634,single,carbonyl,DHI,Unmethlyated,7 - DHI,single
0_90_single_A,COc1cc2cc[nH]c2c(C2:scc3ncc(S(=O)(=O)O)nc:23)c1OC,-5.736801,-2.979554,2.757248,0.7075688463989347,3.301554673868297,single,Sulfonic Acid,DHI,Unmethlyated,7 - DHI,single
0_91_single_A,COc1cc2cc[nH]c2c(C2:scc3ncc(C(F)(F)F)nc:23)c1OC,-5.490108,-2.671082,2.819027,0.4691411129172361,3.136483862487898,single,Trifloro,DHI,Unmethlyated,7 - DHI,single
0_92_single_A,COc1cc2cc[nH]c2c(C2:scc3ncc(F)nc:23)c1OC,-5.140804,-2.433364,2.70744,0.9236864087713774,3.179799912833973,single,F,DHI,Unmethlyated,7 - DHI,single
0_93_single_A,COc1cc2cc[nH]c2c(C2:scc3ncc(O)nc:23)c1OC,-5.106032,-2.173874,2.932157,0.8715450925676472,3.253046066680126,single,OH,DHI,Unmethlyated,7 - DHI,single
0_94_single_A,COc1cc2cc[nH]c2c(C2:scc3ncc(S)nc:23)c1OC,-5.158966,-2.416676,2.74229,0.9380168037804376,3.388471940806001,single,SH,DHI,Unmethlyated,7 - DHI,single
0_95_single_A,COc1cc2cc[nH]c2c(C2:scc3ncc(Br)nc:23)c1OC,-5.193728,-2.573565,2.620163,0.9405614827321503,3.163048164582226,single,Br,DHI,Unmethlyated,7 - DHI,single
0_96_single_A,COc1cc2cc[nH]c2c(C2:scc3nccnc:23)c1OC,-5.050797,-2.353748,2.697049,0.9433424897315152,2.9573332129559877,single,none,DHI,Unmethlyated,7 - DHI,single
0_97_single_A,COc1cc2cc[nH]c2c(C2:scc3ncc(C)nc:23)c1OC,-5.002682,-2.203598,2.799085,0.9287675179856284,3.003657954792016,single,methyl,DHI,Unmethlyated,7 - DHI,single
0_98_single_A,COc1cc2cc[nH]c2c(C2:scc3ncc(C#N)nc:23)c1OC,-5.458778,-2.909012,2.549767,0.4808682409645943,3.188390663521792,single,cyanide,DHI,Unmethlyated,7 - DHI,single
0_99_single_A,COc1cc2cc[nH]c2c(C2:scc3nc(OC(C)=O)cnc:23)c1OC,-5.075911,-2.354939,2.720972,0.94160149834209,3.155928865763037,single,Acetate,DHI,Unmethlyated,7 - DHI,single
0_100_single_A,COc1cc2cc[nH]c2c(C2:scc3nc(NC(C)=O)cnc:23)c1OC,-4.969941,-2.268298,2.701643,0.9527522613311166,3.0471841672183397,single,Amide,DHI,Unmethlyated,7 - DHI,single
0_101_single_A,CNc1cnc2:C(c3c(OC)c(OC)cc4cc[nH]c34):scc2n1,-4.81207,-2.003414,2.808656,0.9288037138601432,3.1142093926187817,single,Amine,DHI,Unmethlyated,7 - DHI,single
0_102_single_A,COc1cnc2:C(c3c(OC)c(OC)cc4cc[nH]c34):scc2n1,-4.977059,-2.116431,2.860628,0.9292388532304368,3.056595345796038,single,Methoxy,DHI,Unmethlyated,7 - DHI,single
0_103_single_A,COc1cc2cc[nH]c2c(C2:scc3nc(C=O)cnc:23)c1OC,-5.244991,-2.861173,2.383818,0.9389669820581696,3.196272937769283,single,carbonyl,DHI,Unmethlyated,7 - DHI,single
0_104_single_A,COc1cc2cc[nH]c2c(C2:scc3nc(S(=O)(=O)O)cnc:23)c1OC,-5.570556,-3.078539,2.492017,0.412010744861942,3.2790176875669266,single,Sulfonic Acid,DHI,Unmethlyated,7 - DHI,single
0_105_single_A,COc1cc2cc[nH]c2c(C2:scc3nc(C(F)(F)F)cnc:23)c1OC,-5.528483,-2.651938,2.876546,0.4154789999168662,3.1511342312971697,single,Trifloro,DHI,Unmethlyated,7 - DHI,single
0_106_single_A,COc1cc2cc[nH]c2c(C2:scc3nc(F)cnc:23)c1OC,-5.177626,-2.476003,2.701623,0.9425416646984066,3.192143968778028,single,F,DHI,Unmethlyated,7 - DHI,single
0_107_single_A,COc1cc2cc[nH]c2c(C2:scc3nc(O)cnc:23)c1OC,-5.027499,-2.227139,2.80036,0.944333394424401,3.247064947799009,single,OH,DHI,Unmethlyated,7 - DHI,single
0_108_single_A,COc1cc2cc[nH]c2c(C2:scc3nc(S)cnc:23)c1OC,-5.171515,-2.438972,2.732543,0.9480375741686212,3.400815996750058,single,SH,DHI,Unmethlyated,7 - DHI,single
0_109_single_A,COc1cc2cc[nH]c2c(C2:scc3nc(Br)cnc:23)c1OC,-5.234509,-2.596595,2.637913,0.9451231042276188,3.181709003743064,single,Br,DHI,Unmethlyated,7 - DHI,single
0_110_single_A,COc1cc2cc[nH]c2c(C2:scc3nc(C)cnc:23)c1OC,-4.992633,-2.209815,2.782818,0.945081216625688,3.0118187939528536,single,methyl,DHI,Unmethlyated,7 - DHI,single
0_111_single_A,COc1cc2cc[nH]c2c(C2:scc3nc(C#N)cnc:23)c1OC,-5.368393,-2.97962,2.388773,0.9383933606896532,3.200198021381322,single,cyanide,DHI,Unmethlyated,7 - DHI,single
0_139_single_A,COc1cc2cc[nH]c2c(C2:c(OC(C)=O)ccc3nonc:23)c1OC,-5.290943,-2.389142,2.901801,0.3918487987455161,2.8795165996507706,single,Acetate,DHI,Unmethlyated,7 - DHI,single
0_140_single_A,COc1cc2cc[nH]c2c(C2:c(NC(C)=O)ccc3nonc:23)c1OC,-5.563158,-2.337272,3.225886,0.6166360789709086,2.838357971792144,single,Amide,DHI,Unmethlyated,7 - DHI,single
0_141_single_A,CNc1ccc2nonc2:C:1c1c(OC)c(OC)cc2cc[nH]c12,-5.274487,-1.973614,3.300873,0.3665689853300068,2.9203090581706217,single,Amine,DHI,Unmethlyated,7 - DHI,single
0_142_single_A,COc1cc2cc[nH]c2c(C2:c(OC)ccc3nonc:23)c1OC,-5.228763,-2.240257,2.988505,0.5755286807723213,2.7807558809130946,single,Methoxy,DHI,Unmethlyated,7 - DHI,single
0_143_single_A,COc1cc2cc[nH]c2c(C2:c(C=O)ccc3nonc:23)c1OC,-5.658989,-2.868612,2.790378,0.6144092735197115,2.9695511986388468,single,carbonyl,DHI,Unmethlyated,7 - DHI,single
0_144_single_A,COc1cc2cc[nH]c2c(C2:c(S(=O)(=O)O)ccc3nonc:23)c1OC,-5.782903,-3.011435,2.771468,0.3824905691867183,2.956798720232891,single,Sulfonic Acid,DHI,Unmethlyated,7 - DHI,single
0_145_single_A,COc1cc2cc[nH]c2c(C2:c(C(F)(F)F)ccc3nonc:23)c1OC,-5.36809,-2.708675,2.659415,0.3551965560154586,2.9422185305595505,single,Trifloro,DHI,Unmethlyated,7 - DHI,single
0_146_single_A,COc1cc2cc[nH]c2c(C2:c(F)ccc3nonc:23)c1OC,-5.289515,-2.429832,2.859682,0.5516979493163162,2.81499361912768,single,F,DHI,Unmethlyated,7 - DHI,single
