Name,SMILES,HOMO /eV,LUMO /eV,EG /eV,SA Score,Planarity,Linker Type,Fragment Functional Group,Eumelanin Type,Eumelanin Func Type,Eumelanin Bonded Type,Eumelanin Linker Type
2_211_single_A,CNc1cnc2:C(c3c(OC)c(OC)cc4[nH]ccc34):occ2n1,-4.767154,-1.552076,3.215079,3.0965244427860057,0.573161980144838,Single,Amine,DHI,Unmethlyated,4 - DHI,single
2_212_single_A,COc1cnc2:C(c3c(OC)c(OC)cc4[nH]ccc34):occ2n1,-5.04677,-1.73874,3.308031,3.038910395963262,0.5728929776127224,Single,Methoxy,DHI,Unmethlyated,4 - DHI,single
2_213_single_A,COc1cc2[nH]ccc2c(C2:occ3nc(C=O)cnc:23)c1OC,-5.218785,-2.607522,2.611262,3.178587987936506,0.5634224714178944,Single,carbonyl,DHI,Unmethlyated,4 - DHI,single
2_214_single_A,COc1cc2[nH]ccc2c(C2:occ3nc(S(=O)(=O)O)cnc:23)c1OC,-5.459195,-2.843347,2.615847,3.262301776081152,0.5811781244387533,Single,Sulfonic Acid,DHI,Unmethlyated,4 - DHI,single
2_215_single_A,COc1cc2[nH]ccc2c(C2:occ3nc(C(F)(F)F)cnc:23)c1OC,-5.348132,-2.400223,2.947909,3.1344183198113944,0.5740259673887842,Single,Trifloro,DHI,Unmethlyated,4 - DHI,single
2_216_single_A,COc1cc2[nH]ccc2c(C2:occ3nc(F)cnc:23)c1OC,-5.149591,-2.06181,3.087781,3.1736551575892182,0.5778548924757168,Single,F,DHI,Unmethlyated,4 - DHI,single
2_217_single_A,COc1cc2[nH]ccc2c(C2:occ3nc(O)cnc:23)c1OC,-5.101942,-1.860718,3.241224,3.228576136610198,0.5731750564534233,Single,OH,DHI,Unmethlyated,4 - DHI,single
2_218_single_A,COc1cc2[nH]ccc2c(C2:occ3nc(S)cnc:23)c1OC,-5.177053,-2.049546,3.127507,3.3823271855612465,0.572420302447674,Single,SH,DHI,Unmethlyated,4 - DHI,single
2_219_single_A,COc1cc2[nH]ccc2c(C2:occ3nc(Br)cnc:23)c1OC,-5.214483,-2.239126,2.975357,3.1632201925542534,0.5592977516593618,Single,Br,DHI,Unmethlyated,4 - DHI,single
2_220_single_A,COc1cc2[nH]ccc2c(C2:occ3nc(C)cnc:23)c1OC,-4.97195,-1.797432,3.174518,2.993329982764044,0.5710454540241862,Single,methyl,DHI,Unmethlyated,4 - DHI,single
2_221_single_A,COc1cc2[nH]ccc2c(C2:occ3nc(C#N)cnc:23)c1OC,-5.336442,-2.709936,2.626506,3.182513071548547,0.5569725745004005,Single,cyanide,DHI,Unmethlyated,4 - DHI,single
2_222_single_A,COc1cc2[nH]ccc2c(C2:scc3sc(=S)sc:23)c1OC,-5.447644,-1.860022,3.587621,3.249321159384559,0.34183884425428024,Single,none,DHI,Unmethlyated,4 - DHI,single
2_227_single_A,COc1cc2[nH]ccc2c(C2:cc(C=O)cc3c:2SCS3)c1OC,-5.32894,-1.529915,3.799025,3.276223439441524,0.1166725894237825,Single,carbonyl,DHI,Unmethlyated,4 - DHI,single
2_241_single_A,COc1cc2[nH]ccc2c(C2:c(C=O)ccc3c:2SCS3)c1OC,-5.550404,-1.579529,3.970875,3.2379418340903534,0.049179647656748496,Single,carbonyl,DHI,Unmethlyated,4 - DHI,single
2_254_single_A,COc1cc2[nH]ccc2c(C2:cccc3ccc(C=O)cc:23)c1OC,-5.483,-1.663483,3.819517,2.397782005407411,0.16392924583452628,Single,carbonyl,DHI,Unmethlyated,4 - DHI,single
2_255_single_A,COc1cc2[nH]ccc2c(C2:cccc3ccc(S(=O)(=O)O)cc:23)c1OC,-5.445754,-1.521112,3.924642,2.411273532688224,0.22562325961704158,Single,Sulfonic Acid,DHI,Unmethlyated,4 - DHI,single
2_263_single_A,COc1cc2[nH]ccc2c(C2:cccc3ccc(C#N)cc:23)c1OC,-5.30536,-1.560669,3.744692,2.375128159253567,0.1875057311953907,Single,cyanide,DHI,Unmethlyated,4 - DHI,single
2_268_single_A,COc1cc2[nH]ccc2c(C2:cccc3cc(C=O)ccc:23)c1OC,-5.461502,-1.737789,3.723713,2.3860858515612584,0.15301671407000147,Single,carbonyl,DHI,Unmethlyated,4 - DHI,single
2_269_single_A,COc1cc2[nH]ccc2c(C2:cccc3cc(S(=O)(=O)O)ccc:23)c1OC,-5.348698,-1.49849,3.850208,2.3987755569797216,0.17606079152430307,Single,Sulfonic Acid,DHI,Unmethlyated,4 - DHI,single
2_276_single_A,COc1cc2[nH]ccc2c(C2:cccc3cc(C#N)ccc:23)c1OC,-5.354638,-1.560091,3.794547,2.3689281592535654,0.18290661272954595,Single,cyanide,DHI,Unmethlyated,4 - DHI,single
2_282_single_A,COc1cc2[nH]ccc2c(C2:c(C=O)ccc3ccccc:23)c1OC,-5.3287,-1.556379,3.772321,2.413653159253565,0.05602325575381996,Single,carbonyl,DHI,Unmethlyated,4 - DHI,single
2_283_single_A,COc1cc2[nH]ccc2c(C2:c(S(=O)(=O)O)ccc3ccccc:23)c1OC,-5.432669,-1.515535,3.917134,2.435090739165956,0.07581746793739587,Single,Sulfonic Acid,DHI,Unmethlyated,4 - DHI,single
2_290_single_A,COc1cc2[nH]ccc2c(C2:c(C#N)ccc3ccccc:23)c1OC,-5.492367,-1.556981,3.935386,2.3979973900227964,0.092758233846029,Single,cyanide,DHI,Unmethlyated,4 - DHI,single
2_295_single_A,COc1cc2[nH]ccc2c(C2:cc(C=O)cc3ccccc:23)c1OC,-5.283868,-1.697916,3.585952,2.418480082330488,0.1792474782411459,Single,carbonyl,DHI,Unmethlyated,4 - DHI,single
2_296_single_A,COc1cc2[nH]ccc2c(C2:cc(S(=O)(=O)O)cc3ccccc:23)c1OC,-5.508985,-1.541465,3.96752,2.425438512445309,0.14655562050755727,Single,Sulfonic Acid,DHI,Unmethlyated,4 - DHI,single
2_303_single_A,COc1cc2[nH]ccc2c(C2:cc(C#N)cc3ccccc:23)c1OC,-5.349317,-1.552494,3.796823,2.4010954669458737,0.17573706451617566,Single,cyanide,DHI,Unmethlyated,4 - DHI,single
2_304_single_A,COc1cc2[nH]ccc2c(C2:cccc3nc(OC(C)=O)cnc:23)c1OC,-5.08045,-1.746473,3.333976,2.706962525274585,0.08566808443384588,Single,Acetate,DHI,Unmethlyated,4 - DHI,single
2_305_single_A,COc1cc2[nH]ccc2c(C2:cccc3nc(NC(C)=O)cnc:23)c1OC,-5.022027,-1.667392,3.354635,2.602454633166694,0.08546478468913615,Single,Amide,DHI,Unmethlyated,4 - DHI,single
2_308_single_A,COc1cc2[nH]ccc2c(C2:cccc3nc(C=O)cnc:23)c1OC,-5.207553,-2.412057,2.795497,2.7093570054074103,0.09404509338039829,Single,carbonyl,DHI,Unmethlyated,4 - DHI,single
2_309_single_A,COc1cc2[nH]ccc2c(C2:cccc3nc(S(=O)(=O)O)cnc:23)c1OC,-5.360226,-2.596911,2.763315,2.818891548882556,0.12154542103237927,Single,Sulfonic Acid,DHI,Unmethlyated,4 - DHI,single
2_310_single_A,COc1cc2[nH]ccc2c(C2:cccc3nc(C(F)(F)F)cnc:23)c1OC,-5.420533,-2.207321,3.213212,2.696056123781341,0.235757531438856,Single,Trifloro,DHI,Unmethlyated,4 - DHI,single
2_311_single_A,COc1cc2[nH]ccc2c(C2:cccc3nc(F)cnc:23)c1OC,-5.140479,-1.857999,3.28248,2.6814027036555697,0.20443126355699343,Single,F,DHI,Unmethlyated,4 - DHI,single
2_312_single_A,COc1cc2[nH]ccc2c(C2:cccc3nc(O)cnc:23)c1OC,-5.05771,-1.599823,3.457887,2.7339358140234644,0.07763461400974711,Single,OH,DHI,Unmethlyated,4 - DHI,single
2_313_single_A,COc1cc2[nH]ccc2c(C2:cccc3nc(S)cnc:23)c1OC,-5.098185,-1.776336,3.321849,2.8810020347592484,0.02786320316000411,Single,SH,DHI,Unmethlyated,4 - DHI,single
2_314_single_A,COc1cc2[nH]ccc2c(C2:cccc3nc(Br)cnc:23)c1OC,-5.191254,-2.019867,3.171387,2.67142143275256,0.035466708784782905,Single,Br,DHI,Unmethlyated,4 - DHI,single
2_315_single_A,COc1cc2[nH]ccc2c(C2:cccc3nccnc:23)c1OC,-5.062038,-1.710681,3.351357,2.4370104962803776,0.2232222993184636,Single,none,DHI,Unmethlyated,4 - DHI,single
2_316_single_A,COc1cc2[nH]ccc2c(C2:cccc3nc(C)cnc:23)c1OC,-5.025116,-1.559934,3.465183,2.5089177538227947,0.22340202481806057,Single,methyl,DHI,Unmethlyated,4 - DHI,single
2_317_single_A,COc1cc2[nH]ccc2c(C2:cccc3nc(C#N)cnc:23)c1OC,-5.527769,-2.466672,3.061097,2.7131185438689496,0.20053061088634166,Single,cyanide,DHI,Unmethlyated,4 - DHI,single
2_318_single_A,COc1cc2[nH]ccc2c(C2:cccc3ncc(OC(C)=O)nc:23)c1OC,-5.087148,-1.750196,3.336952,2.6782991886112484,0.245011172127493,Single,Acetate,DHI,Unmethlyated,4 - DHI,single
2_319_single_A,COc1cc2[nH]ccc2c(C2:cccc3ncc(NC(C)=O)nc:23)c1OC,-5.152595,-1.675109,3.477486,2.58992656123862,0.2441271504775089,Single,Amide,DHI,Unmethlyated,4 - DHI,single
2_322_single_A,COc1cc2[nH]ccc2c(C2:cccc3ncc(C=O)nc:23)c1OC,-5.474565,-2.401076,3.073489,2.6931704669458725,0.20634575298575264,Single,carbonyl,DHI,Unmethlyated,4 - DHI,single
2_323_single_A,COc1cc2[nH]ccc2c(C2:cccc3ncc(S(=O)(=O)O)nc:23)c1OC,-5.723756,-2.631609,3.092147,2.823424342404824,0.2612115553766927,Single,Sulfonic Acid,DHI,Unmethlyated,4 - DHI,single
2_324_single_A,COc1cc2[nH]ccc2c(C2:cccc3ncc(C(F)(F)F)nc:23)c1OC,-5.405943,-2.155026,3.250917,2.6648694841052283,0.2609778030313489,Single,Trifloro,DHI,Unmethlyated,4 - DHI,single
2_325_single_A,COc1cc2[nH]ccc2c(C2:cccc3ncc(F)nc:23)c1OC,-5.130228,-1.846951,3.283277,2.650744509675638,0.13161899882322298,Single,F,DHI,Unmethlyated,4 - DHI,single
2_326_single_A,COc1cc2[nH]ccc2c(C2:cccc3ncc(O)nc:23)c1OC,-5.117629,-1.589484,3.528145,2.720806048137176,0.23935101624034405,Single,OH,DHI,Unmethlyated,4 - DHI,single
2_327_single_A,COc1cc2[nH]ccc2c(C2:cccc3ncc(S)nc:23)c1OC,-5.131476,-1.763229,3.368247,2.850343840779315,0.24494810881435686,Single,SH,DHI,Unmethlyated,4 - DHI,single
2_328_single_A,COc1cc2[nH]ccc2c(C2:cccc3ncc(Br)nc:23)c1OC,-5.168824,-1.999891,3.168934,2.6347210983043983,0.11656713440217045,Single,Br,DHI,Unmethlyated,4 - DHI,single
2_329_single_A,COc1cc2[nH]ccc2c(C2:cccc3ncc(C)nc:23)c1OC,-5.048344,-1.567781,3.480563,2.482260897635502,0.049346341373088104,Single,methyl,DHI,Unmethlyated,4 - DHI,single
2_330_single_A,COc1cc2[nH]ccc2c(C2:cccc3ncc(C#N)nc:23)c1OC,-5.484931,-2.450514,3.034417,2.683737774638182,0.22247682369054922,Single,cyanide,DHI,Unmethlyated,4 - DHI,single
2_331_single_A,COc1cc2[nH]ccc2c(C2:cc(OC(C)=O)cc3nccnc:23)c1OC,-5.042839,-1.766308,3.276531,2.694161126673187,0.1726890090053359,Single,Acetate,DHI,Unmethlyated,4 - DHI,single
2_332_single_A,COc1cc2[nH]ccc2c(C2:cc(NC(C)=O)cc3nccnc:23)c1OC,-5.120995,-1.637891,3.483104,2.621625262537321,0.24896815715969892,Single,Amide,DHI,Unmethlyated,4 - DHI,single
2_334_single_A,COc1c:C(c2c(OC)c(OC)cc3[nH]ccc23):c2nccnc2c1,-5.077269,-1.598568,3.478701,2.577070466945873,0.20186567898182436,Single,Methoxy,DHI,Unmethlyated,4 - DHI,single
2_335_single_A,COc1cc2[nH]ccc2c(C2:cc(C=O)cc3nccnc:23)c1OC,-5.231707,-2.321188,2.910519,2.756710851561257,0.2389134313379782,Single,carbonyl,DHI,Unmethlyated,4 - DHI,single
2_336_single_A,COc1cc2[nH]ccc2c(C2:cc(S(=O)(=O)O)cc3nccnc:23)c1OC,-5.266468,-2.307174,2.959294,2.7364213059675766,0.11380616520313243,Single,Sulfonic Acid,DHI,Unmethlyated,4 - DHI,single
2_337_single_A,COc1cc2[nH]ccc2c(C2:cc(C(F)(F)F)cc3nccnc:23)c1OC,-5.441011,-2.134012,3.306999,2.702807945643689,0.09163996787877413,Single,Trifloro,DHI,Unmethlyated,4 - DHI,single
2_338_single_A,COc1cc2[nH]ccc2c(C2:cc(F)cc3nccnc:23)c1OC,-5.175438,-1.832499,3.342938,2.614848857501725,0.08917398399086772,Single,F,DHI,Unmethlyated,4 - DHI,single
2_339_single_A,COc1cc2[nH]ccc2c(C2:cc(O)cc3nccnc:23)c1OC,-5.117162,-1.623673,3.493489,2.6966294595084133,0.25328737090181774,Single,OH,DHI,Unmethlyated,4 - DHI,single
2_340_single_A,COc1cc2[nH]ccc2c(C2:cc(S)cc3nccnc:23)c1OC,-5.144576,-1.788555,3.35602,2.9143732722174427,0.2429403266515602,Single,SH,DHI,Unmethlyated,4 - DHI,single
2_341_single_A,COc1cc2[nH]ccc2c(C2:cc(Br)cc3nccnc:23)c1OC,-5.201809,-1.970099,3.23171,2.654673606665604,0.1014118016564979,Single,Br,DHI,Unmethlyated,4 - DHI,single
2_342_single_A,COc1cc2[nH]ccc2c(C2:cc(C)cc3nccnc:23)c1OC,-5.067945,-1.622959,3.444986,2.582326449474968,0.06851978698368898,Single,methyl,DHI,Unmethlyated,4 - DHI,single
2_343_single_A,COc1cc2[nH]ccc2c(C2:cc(C#N)cc3nccnc:23)c1OC,-5.304677,-2.340716,2.963961,2.730087774638182,0.11111833020572918,Single,cyanide,DHI,Unmethlyated,4 - DHI,single
2_344_single_A,COc1cc2[nH]ccc2c(C2:c(OC(C)=O)ccc3nccnc:23)c1OC,-5.344212,-1.781185,3.563026,2.644895792007852,0.12687401767618253,Single,Acetate,DHI,Unmethlyated,4 - DHI,single
2_345_single_A,COc1cc2[nH]ccc2c(C2:c(NC(C)=O)ccc3nccnc:23)c1OC,-5.306852,-1.665496,3.641356,2.605340747052807,0.07874565476730788,Single,Amide,DHI,Unmethlyated,4 - DHI,single
2_347_single_A,COc1cc2[nH]ccc2c(C2:c(OC)ccc3nccnc:23)c1OC,-5.165521,-1.635088,3.530434,2.5288666207920265,0.006182350967336734,Single,Methoxy,DHI,Unmethlyated,4 - DHI,single
2_348_single_A,COc1cc2[nH]ccc2c(C2:c(C=O)ccc3nccnc:23)c1OC,-5.28204,-2.220677,3.061363,2.7097954669458737,0.015638567094058826,Single,carbonyl,DHI,Unmethlyated,4 - DHI,single
2_349_single_A,COc1cc2[nH]ccc2c(C2:c(S(=O)(=O)O)ccc3nccnc:23)c1OC,-5.790333,-2.386124,3.404209,2.7156466096113,0.021501404445938645,Single,Sulfonic Acid,DHI,Unmethlyated,4 - DHI,single
2_350_single_A,COc1cc2[nH]ccc2c(C2:c(C(F)(F)F)ccc3nccnc:23)c1OC,-5.11837,-2.085968,3.032402,2.701641953740856,9.071817038104623e-05,Single,Trifloro,DHI,Unmethlyated,4 - DHI,single
2_351_single_A,COc1cc2[nH]ccc2c(C2:c(F)ccc3nccnc:23)c1OC,-5.327003,-1.861403,3.465599,2.5478294595084137,0.03228282876621357,Single,F,DHI,Unmethlyated,4 - DHI,single
2_352_single_A,COc1cc2[nH]ccc2c(C2:c(O)ccc3nccnc:23)c1OC,-5.154773,-1.570669,3.584104,2.592566583254232,0.37699821043928944,Single,OH,DHI,Unmethlyated,4 - DHI,single
2_353_single_A,COc1cc2[nH]ccc2c(C2:c(S)ccc3nccnc:23)c1OC,-5.213298,-1.751572,3.461726,2.7832040414482133,0.002112626670581957,Single,SH,DHI,Unmethlyated,4 - DHI,single
2_354_single_A,COc1cc2[nH]ccc2c(C2:c(Br)ccc3nccnc:23)c1OC,-5.343057,-1.951663,3.391394,2.628349860846205,0.04377617735492273,Single,Br,DHI,Unmethlyated,4 - DHI,single
2_355_single_A,COc1cc2[nH]ccc2c(C2:c(C)ccc3nccnc:23)c1OC,-5.075453,-1.638533,3.43692,2.5445726033211216,0.08671267736304834,Single,methyl,DHI,Unmethlyated,4 - DHI,single
2_356_single_A,COc1cc2[nH]ccc2c(C2:c(C#N)ccc3nccnc:23)c1OC,-5.448042,-2.360373,3.087669,2.694139697715104,0.011968933712787157,Single,cyanide,DHI,Unmethlyated,4 - DHI,single
2_29_double_A,COc1cc2[nH]ccc2c(C=CC2:c(OC(C)=O)ccc3nsnc:23)c1OC,-5.093779,-2.281469,2.81231,3.0127929292780475,0.9131872124667129,Double,Acetate,DHI,Unmethlyated,4 - DHI,double
2_30_double_A,COc1cc2[nH]ccc2c(C=CC2:c(NC(C)=O)ccc3nsnc:23)c1OC,-5.488605,-2.160198,3.328407,3.029432544662664,0.38830585716348703,Double,Amide,DHI,Unmethlyated,4 - DHI,double
2_31_double_A,CNc1ccc2nsnc2:C:1C=Cc1c(OC)c(OC)cc2[nH]ccc12,-4.785129,-1.931941,2.853188,3.082610412540584,0.8243364526759086,Double,Amine,DHI,Unmethlyated,4 - DHI,double
2_32_double_A,COc1cc2[nH]ccc2c(C=CC2:c(OC)ccc3nsnc:23)c1OC,-4.935204,-2.153204,2.782,2.9335261048482764,0.9500949187116887,Double,Methoxy,DHI,Unmethlyated,4 - DHI,double
2_33_double_A,COc1cc2[nH]ccc2c(C=CC2:c(C=O)ccc3nsnc:23)c1OC,-5.277246,-2.468863,2.808382,3.1058368740790456,0.4625336209031016,Double,carbonyl,DHI,Unmethlyated,4 - DHI,double
2_34_double_A,COc1cc2[nH]ccc2c(C=CC2:c(S(=O)(=O)O)ccc3nsnc:23)c1OC,-5.469103,-2.735417,2.733687,3.120770933172887,0.554915788742891,Double,Sulfonic Acid,DHI,Unmethlyated,4 - DHI,double
2_35_double_A,COc1cc2[nH]ccc2c(C=CC2:c(C(F)(F)F)ccc3nsnc:23)c1OC,-5.170308,-2.492623,2.677686,3.096603260339391,0.702141437917697,Double,Trifloro,DHI,Unmethlyated,4 - DHI,double
2_36_double_A,COc1cc2[nH]ccc2c(C=CC2:c(F)ccc3nsnc:23)c1OC,-5.010722,-2.291717,2.719005,2.977887774638182,0.9743360694656169,Double,F,DHI,Unmethlyated,4 - DHI,double
2_37_double_A,COc1cc2[nH]ccc2c(C=CC2:c(O)ccc3nsnc:23)c1OC,-5.479851,-1.961939,3.517912,3.015641620792028,0.18052518720401733,Double,OH,DHI,Unmethlyated,4 - DHI,double
2_38_double_A,COc1cc2[nH]ccc2c(C=CC2:c(S)ccc3nsnc:23)c1OC,-5.214337,-2.286699,2.927638,3.2101339284843338,0.755500243826525,Double,SH,DHI,Unmethlyated,4 - DHI,double
2_39_double_A,COc1cc2[nH]ccc2c(C=CC2:c(Br)ccc3nsnc:23)c1OC,-5.110537,-2.3936,2.716937,3.047743543868949,0.8419602733131683,Double,Br,DHI,Unmethlyated,4 - DHI,double
2_40_double_A,COc1cc2[nH]ccc2c(C=CC2:cccc3nsnc:23)c1OC,-5.045527,-2.235389,2.810138,2.814398738055953,0.924476356774681,Double,none,DHI,Unmethlyated,4 - DHI,double
2_41_double_A,COc1cc2[nH]ccc2c(C=CC2:c(C)ccc3nsnc:23)c1OC,-5.030974,-2.162924,2.86805,2.968199313099719,0.8391503385297484,Double,methyl,DHI,Unmethlyated,4 - DHI,double
2_42_double_A,COc1cc2[nH]ccc2c(C=CC2:c(C#N)ccc3nsnc:23)c1OC,-5.194374,-2.730373,2.464001,3.0992054894636603,0.9580589513593298,Double,cyanide,DHI,Unmethlyated,4 - DHI,double
2_43_double_A,COc1cc2[nH]ccc2c(C=CC2:cc(OC(C)=O)cc3nsnc:23)c1OC,-5.289615,-2.290747,2.998868,3.0512904292780467,0.6585717405819298,Double,Acetate,DHI,Unmethlyated,4 - DHI,double
2_44_double_A,COc1cc2[nH]ccc2c(C=CC2:cc(NC(C)=O)cc3nsnc:23)c1OC,-5.380855,-2.147908,3.232947,3.0080436985088177,0.6751503359595087,Double,Amide,DHI,Unmethlyated,4 - DHI,double
2_45_double_A,CNc1c:C(C=Cc2c(OC)c(OC)cc3[nH]ccc23):c2nsnc2c1,-4.961302,-1.904437,3.056865,3.113732874079046,0.8980100029420773,Double,Amine,DHI,Unmethlyated,4 - DHI,double
2_46_double_A,COc1c:C(C=Cc2c(OC)c(OC)cc3[nH]ccc23):c2nsnc2c1,-5.288032,-2.114222,3.17381,2.9577642586944304,0.7034211276809792,Double,Methoxy,DHI,Unmethlyated,4 - DHI,double
2_47_double_A,COc1cc2[nH]ccc2c(C=CC2:cc(C=O)cc3nsnc:23)c1OC,-5.227458,-2.738018,2.48944,3.141155643309816,0.913806794565883,Double,carbonyl,DHI,Unmethlyated,4 - DHI,double
2_48_double_A,COc1cc2[nH]ccc2c(C=CC2:cc(S(=O)(=O)O)cc3nsnc:23)c1OC,-5.392891,-2.767761,2.62513,3.1226129974377352,0.716175534095798,Double,Sulfonic Acid,DHI,Unmethlyated,4 - DHI,double
2_49_double_A,COc1cc2[nH]ccc2c(C=CC2:cc(C(F)(F)F)cc3nsnc:23)c1OC,-5.294328,-2.570347,2.723981,3.07066538302683,0.9371217460266865,Double,Trifloro,DHI,Unmethlyated,4 - DHI,double
2_50_double_A,COc1cc2[nH]ccc2c(C=CC2:cc(F)cc3nsnc:23)c1OC,-5.170891,-2.349862,2.82103,3.01674354386895,0.9185153123664027,Double,F,DHI,Unmethlyated,4 - DHI,double
2_51_double_A,COc1cc2[nH]ccc2c(C=CC2:cc(O)cc3nsnc:23)c1OC,-5.107593,-2.182288,2.925305,3.0894550823304883,0.9130316416513199,Double,OH,DHI,Unmethlyated,4 - DHI,double
2_52_double_A,COc1cc2[nH]ccc2c(C=CC2:cc(S)cc3nsnc:23)c1OC,-5.148456,-2.316404,2.832053,3.3138762361766423,0.9165535512919176,Double,SH,DHI,Unmethlyated,4 - DHI,double
2_53_double_A,COc1cc2[nH]ccc2c(C=CC2:cc(Br)cc3nsnc:23)c1OC,-5.198416,-2.472439,2.725976,3.034695466945873,0.9247835737136364,Double,Br,DHI,Unmethlyated,4 - DHI,double
2_54_double_A,COc1cc2[nH]ccc2c(C=CC2:cc(C)cc3nsnc:23)c1OC,-5.032109,-2.140183,2.891926,2.9841473900227964,0.9072855564117581,Double,methyl,DHI,Unmethlyated,4 - DHI,double
2_55_double_A,COc1cc2[nH]ccc2c(C=CC2:cc(C#N)cc3nsnc:23)c1OC,-5.30647,-2.78924,2.51723,3.123774104848275,0.9403772655917376,Double,cyanide,DHI,Unmethlyated,4 - DHI,double
2_56_double_A,COc1cc2[nH]ccc2c(C=CC2:c(OC(C)=O)ncc3nsnc:23)c1OC,-5.188202,-2.684169,2.504032,3.270187736970355,0.9131257731934801,Double,Acetate,DHI,Unmethlyated,4 - DHI,double
2_57_double_A,COc1cc2[nH]ccc2c(C=CC2:c(NC(C)=O)ncc3nsnc:23)c1OC,-5.290019,-2.478666,2.811353,3.197151006201125,0.4372407269916036,Double,Amide,DHI,Unmethlyated,4 - DHI,double
2_58_double_A,CNc1ncc2nsnc2:C:1C=Cc1c(OC)c(OC)cc2[nH]ccc12,-4.951863,-2.135793,2.81607,3.2367310279252,0.25353050736128807,Double,Amine,DHI,Unmethlyated,4 - DHI,double
2_59_double_A,COc1cc2[nH]ccc2c(C=CC2:c(OC)ncc3nsnc:23)c1OC,-4.874008,-2.489069,2.384939,3.193590104848276,0.970157636271232,Double,Methoxy,DHI,Unmethlyated,4 - DHI,double
2_60_double_A,COc1cc2[nH]ccc2c(C=CC2:c(C=O)ncc3nsnc:23)c1OC,-5.23342,-2.788412,2.445008,3.3549919510021216,0.6230439600267645,Double,carbonyl,DHI,Unmethlyated,4 - DHI,double
2_61_double_A,COc1cc2[nH]ccc2c(C=CC2:c(S(=O)(=O)O)ncc3nsnc:23)c1OC,-5.281117,-3.205415,2.075703,3.367127310972304,0.8914954708188201,Double,Sulfonic Acid,DHI,Unmethlyated,4 - DHI,double
2_62_double_A,COc1cc2[nH]ccc2c(C=CC2:c(C(F)(F)F)ncc3nsnc:23)c1OC,-5.397479,-2.910136,2.487343,3.284355353815535,0.8216841183463316,Double,Trifloro,DHI,Unmethlyated,4 - DHI,double
2_63_double_A,COc1cc2[nH]ccc2c(C=CC2:c(F)ncc3nsnc:23)c1OC,-5.210074,-2.777142,2.432932,3.249630082330489,0.9720967266135885,Double,F,DHI,Unmethlyated,4 - DHI,double
2_64_double_A,COc1cc2[nH]ccc2c(C=CC2:c(O)ncc3nsnc:23)c1OC,-5.017048,-2.621594,2.395454,3.302291620792028,0.9272169341684159,Double,OH,DHI,Unmethlyated,4 - DHI,double
2_65_double_A,COc1cc2[nH]ccc2c(C=CC2:c(S)ncc3nsnc:23)c1OC,-5.108186,-2.725009,2.383177,3.414082005407412,0.9760017001228526,Double,SH,DHI,Unmethlyated,4 - DHI,double
2_66_double_A,COc1cc2[nH]ccc2c(C=CC2:c(Br)ncc3nsnc:23)c1OC,-5.195845,-2.804308,2.391537,3.2996762361766425,0.8945855319056404,Double,Br,DHI,Unmethlyated,4 - DHI,double
2_67_double_A,COc1cc2[nH]ccc2c(C=CC2:cncc3nsnc:23)c1OC,-5.175903,-2.597998,2.577905,3.122155221572436,0.902270822798536,Double,none,DHI,Unmethlyated,4 - DHI,double
2_68_double_A,COc1cc2[nH]ccc2c(C=CC2:c(C)ncc3nsnc:23)c1OC,-5.127755,-2.538244,2.589511,3.167824313099719,0.8680254192147452,Double,methyl,DHI,Unmethlyated,4 - DHI,double
2_69_double_A,COc1cc2[nH]ccc2c(C=CC2:c(C#N)ncc3nsnc:23)c1OC,-5.289371,-3.008825,2.280546,3.3002682586944303,0.9666591391618471,Double,cyanide,DHI,Unmethlyated,4 - DHI,double
2_70_double_A,COc1cc2[nH]ccc2c(C=CC2:nc(OC(C)=O)cc3nsnc:23)c1OC,-5.207315,-2.585055,2.62226,3.301679083124201,0.9833981012801105,Double,Acetate,DHI,Unmethlyated,4 - DHI,double
2_71_double_A,COc1cc2[nH]ccc2c(C=CC2:nc(NC(C)=O)cc3nsnc:23)c1OC,-5.221614,-2.474399,2.747215,3.2075235062011247,0.980580830377657,Double,Amide,DHI,Unmethlyated,4 - DHI,double
2_72_double_A,CNc1cc2nsnc2:C(C=Cc2c(OC)c(OC)cc3[nH]ccc23):n1,-5.006816,-2.19622,2.810596,3.26562148946366,0.9809279693272971,Double,Amine,DHI,Unmethlyated,4 - DHI,double
2_73_double_A,COc1cc2nsnc2:C(C=Cc2c(OC)c(OC)cc3[nH]ccc23):n1,-5.143561,-2.46134,2.682221,3.2025402586944303,0.9821863153555949,Double,Methoxy,DHI,Unmethlyated,4 - DHI,double
2_74_double_A,COc1cc2[nH]ccc2c(C=CC2:nc(C=O)cc3nsnc:23)c1OC,-5.314271,-2.883594,2.430676,3.3497562586944305,0.9799124998379152,Double,carbonyl,DHI,Unmethlyated,4 - DHI,double
2_75_double_A,COc1cc2[nH]ccc2c(C=CC2:nc(S(=O)(=O)O)cc3nsnc:23)c1OC,-5.553395,-3.113788,2.439607,3.3921240003588657,0.9647072610090047,Double,Sulfonic Acid,DHI,Unmethlyated,4 - DHI,double
2_76_double_A,COc1cc2[nH]ccc2c(C=CC2:nc(C(F)(F)F)cc3nsnc:23)c1OC,-5.411066,-2.836561,2.574505,3.285561196074542,0.9868092461337412,Double,Trifloro,DHI,Unmethlyated,4 - DHI,double
