Name,SMILES,HOMO /eV,LUMO /eV,EG /eV,SA Score,Planarity,Linker Type,Fragment Functional Group,Eumelanin Type,Eumelanin Func Type,Eumelanin Bonded Type,Eumelanin Linker Type
0_56_single_A,COc1cc2cc[nH]c2c(C2:c(OC(C)=O)ncc3nsnc:23)c1OC,-5.205647,-2.810539,2.395108,3.169947160981333,0.13802020270827195,Single,Acetate,DHI,Unmethlyated,7 - DHI,single
0_57_single_A,COc1cc2cc[nH]c2c(C2:c(NC(C)=O)ncc3nsnc:23)c1OC,-5.52991,-2.723094,2.806816,3.0909885331227045,0.3329660509899804,Single,Amide,DHI,Unmethlyated,7 - DHI,single
0_58_single_A,CNc1ncc2nsnc2:C:1c1c(OC)c(OC)cc2cc[nH]c12,-5.242761,-2.386751,2.856009,3.154513740444868,0.13668212562397064,Single,Amine,DHI,Unmethlyated,7 - DHI,single
0_59_single_A,COc1cc2cc[nH]c2c(C2:c(OC)ncc3nsnc:23)c1OC,-5.071428,-2.615503,2.455925,3.0744769511472088,0.2511030770163046,Single,Methoxy,DHI,Unmethlyated,7 - DHI,single
0_60_single_A,COc1cc2cc[nH]c2c(C2:c(C=O)ncc3nsnc:23)c1OC,-5.178135,-3.135268,2.042867,3.2655297939565733,0.060875401592105145,Single,carbonyl,DHI,Unmethlyated,7 - DHI,single
0_61_single_A,COc1cc2cc[nH]c2c(C2:c(S(=O)(=O)O)ncc3nsnc:23)c1OC,-5.459353,-3.475023,1.98433,3.274304305059024,0.17761740800311862,Single,Sulfonic Acid,DHI,Unmethlyated,7 - DHI,single
0_62_single_A,COc1cc2cc[nH]c2c(C2:c(C(F)(F)F)ncc3nsnc:23)c1OC,-5.310065,-3.018084,2.291981,3.1733089415184548,0.15897669452908744,Single,Trifloro,DHI,Unmethlyated,7 - DHI,single
0_63_single_A,COc1cc2cc[nH]c2c(C2:c(F)ncc3nsnc:23)c1OC,-5.233085,-2.950013,2.283072,3.146160052694114,0.37105811650916637,Single,F,DHI,Unmethlyated,7 - DHI,single
0_64_single_A,COc1cc2cc[nH]c2c(C2:c(O)ncc3nsnc:23)c1OC,-5.079867,-2.664464,2.415404,3.2099257869598468,0.3054857386600664,Single,OH,DHI,Unmethlyated,7 - DHI,single
0_65_single_A,COc1cc2cc[nH]c2c(C2:c(S)ncc3nsnc:23)c1OC,-5.257265,-2.755025,2.502239,3.3318789338129946,0.10954299268148411,Single,SH,DHI,Unmethlyated,7 - DHI,single
0_66_single_A,COc1cc2cc[nH]c2c(C2:c(Br)ncc3nsnc:23)c1OC,-5.313815,-2.975575,2.33824,3.207072640106701,0.10107878048732828,Single,Br,DHI,Unmethlyated,7 - DHI,single
0_67_single_A,COc1cc2cc[nH]c2c(C2:cncc3nsnc:23)c1OC,-5.378613,-2.852653,2.52596,3.03162215526368,0.5463057852452148,Single,none,DHI,Unmethlyated,7 - DHI,single
