Name,Similarity Percentage
1,0.0
2,0.631578947368421
3,0.6129032258064516
4,0.6739130434782609
5,0.6764705882352942
6,0.8
7,0.8018867924528302
8,0.803030303030303
9,0.8571428571428571
10,0.850828729281768
11,0.900497512437811
12,0.8701298701298701
13,0.8716981132075472
14,0.8833333333333333
15,0.8695652173913043
16,0.8846153846153846
17,0.8783783783783784
18,0.888
19,0.9107468123861566
20,0.9119601328903655
21,0.9275808936825886
22,0.9446870451237264
23,0.9488950276243094
24,0.9653333333333334
25,0.9640102827763496
26,0.9786163522012579
27,0.9863523573200993
28,0.9805352798053528
29,0.9867947178871549
30,0.9857988165680474
31,0.9859976662777129
32,0.9827981651376146
33,0.9886621315192744
34,0.9821826280623608
35,0.9944629014396457
36,0.9955898566703418
